singer,title,alias,link
데이식스,한 페이지가 될 수 있게,청량감 가득!,https://youtu.be/fmfLU2ibSn4?si=vlexgejJaPvoCaeK
데이식스,welcome to the show,가슴 벅차오르는!,https://youtu.be/oRXPsQkr8Ww?si=8cnviGBnJ2WP6ga6
